movie_id,star_id,star_role_type,star_role_name
13,958,Actor,Character 289
14,1437,Director,
14,612,Actor,Character 62
14,686,Actor,Character 456
14,1427,Actor,Character 344
14,1369,Actor,Character 359
14,123,Actor,Character 371
15,1458,Director,
15,492,Actor,Character 125
15,798,Actor,Character 231
15,1167,Actor,Character 391
15,145,Actor,Character 196
15,605,Actor,Character 286
15,222,Actor,Character 21
16,1183,Director,
16,22,Director,
16,703,Director,
16,736,Actor,Character 319
16,647,Actor,Character 362
16,1160,Actor,Character 96
16,874,Actor,Character 264
16,1227,Actor,Character 375
16,1075,Actor,Character 178
16,985,Actor,Character 14
16,1243,Actor,Character 433
17,1163,Director,
17,576,Actor,Character 423
17,1221,Actor,Character 36
17,1030,Actor,Character 244
17,463,Actor,Character 313
17,1200,Actor,Character 241
17,952,Actor,Character 446
17,826,Actor,Character 206
17,287,Actor,Character 140
18,376,Director,
18,1283,Director,
18,258,Actor,Character 409
18,1413,Actor,Character 194
18,748,Actor,Character 66
18,941,Actor,Character 374
18,598,Actor,Character 400
18,1335,Actor,Character 286
18,1016,Actor,Character 354
19,944,Director,
19,1172,Director,
19,1078,Director,
19,712,Actor,Character 343
19,394,Actor,Character 62
19,723,Actor,Character 275
19,123,Actor,Character 184
19,1215,Actor,Character 272
20,360,Director,
20,641,Director,
20,598,Director,
20,1184,Actor,Character 296
20,1446,Actor,Character 121
20,681,Actor,Character 447
20,457,Actor,Character 393
20,906,Actor,Character 196
20,1324,Actor,Character 170
20,782,Actor,Character 183
20,701,Actor,Character 470
21,566,Director,
21,796,Actor,Character 289
21,1198,Actor,Character 378
21,212,Actor,Character 493
21,1178,Actor,Character 176
21,444,Actor,Character 308
22,424,Director,
22,360,Director,
22,704,Actor,Character 173
22,1153,Actor,Character 150
22,556,Actor,Character 24
22,207,Actor,Character 22
22,178,Actor,Character 79
23,745,Director,
23,1450,Director,
23,1058,Actor,Character 385
23,1477,Actor,Character 248
23,1061,Actor,Character 425
23,589,Actor,Character 355
23,916,Actor,Character 294
23,1050,Actor,Character 153
23,860,Actor,Character 191
24,360,Director,
24,794,Director,
24,995,Actor,Character 288
24,709,Actor,Character 428
24,9,Actor,Character 5
24,137,Actor,Character 185
24,1136,Actor,Character 71
24,1498,Actor,Character 360
24,1147,Actor,Character 455
24,1054,Actor,Character 357
25,297,Director,
25,1285,Director,
25,1088,Actor,Character 384
25,647,Actor,Character 130
25,881,Actor,Character 104
25,628,Actor,Character 227
25,630,Actor,Character 352
25,573,Actor,Character 19
26,357,Director,
26,678,Actor,Character 271
26,621,Actor,Character 112
26,912,Actor,Character 233
26,1426,Actor,Character 420
26,221,Actor,Character 200
27,1227,Director,
27,1248,Actor,Character 12
27,136,Actor,Character 140
27,937,Actor,Character 90
27,1365,Actor,Character 356
27,891,Actor,Character 370
28,275,Director,
28,904,Actor,Character 180
28,34,Actor,Character 258
28,820,Actor,Character 33
28,1166,Actor,Character 183
29,202,Director,
29,1307,Director,
29,1469,Director,
29,352,Actor,Character 349
29,577,Actor,Character 490
29,1411,Actor,Character 405
29,775,Actor,Character 31
29,1481,Actor,Character 225
29,1104,Actor,Character 273
29,694,Actor,Character 496
29,1210,Actor,Character 487
30,1089,Director,
30,1312,Actor,Character 12
30,1088,Actor,Character 232
30,590,Actor,Character 355
30,210,Actor,Character 457
30,665,Actor,Character 262
30,1436,Actor,Character 263
31,418,Director,
31,1311,Director,
31,1327,Director,
31,706,Actor,Character 123
31,327,Actor,Character 116
31,172,Actor,Character 181
31,1339,Actor,Character 170
31,1213,Actor,Character 205
32,648,Director,
32,1101,Director,
32,113,Actor,Character 318
32,188,Actor,Character 485
32,1286,Actor,Character 11
32,607,Actor,Character 437
33,370,Director,
33,50,Actor,Character 329
33,251,Actor,Character 273
33,1422,Actor,Character 306
33,491,Actor,Character 291
34,533,Director,
34,206,Director,
34,931,Actor,Character 303
34,171,Actor,Character 50
34,430,Actor,Character 75
34,177,Actor,Character 387
34,1204,Actor,Character 85
34,469,Actor,Character 247
35,858,Director,
35,1029,Director,
35,550,Actor,Character 498
35,401,Actor,Character 359
35,971,Actor,Character 46
35,1465,Actor,Character 67
36,1011,Director,
36,365,Director,
36,918,Director,
36,856,Actor,Character 216
36,740,Actor,Character 132
36,222,Actor,Character 134
36,1366,Actor,Character 132
37,155,Director,
37,693,Director,
37,401,Actor,Character 480
37,365,Actor,Character 411
37,197,Actor,Character 179
37,406,Actor,Character 6
38,306,Director,
38,485,Director,
38,1396,Actor,Character 199
38,273,Actor,Character 405
38,531,Actor,Character 379
38,1380,Actor,Character 451
39,1215,Director,
39,477,Director,
39,1327,Director,
39,164,Actor,Character 450
39,1223,Actor,Character 219
39,140,Actor,Character 171
39,304,Actor,Character 301
39,149,Actor,Character 101
39,633,Actor,Character 3
40,376,Director,
40,719,Director,
40,712,Actor,Character 482
40,171,Actor,Character 290
40,1201,Actor,Character 348
40,1074,Actor,Character 429
40,1301,Actor,Character 98
40,247,Actor,Character 334
40,1055,Actor,Character 442
41,1232,Director,
41,341,Director,
41,413,Director,
41,1281,Actor,Character 454
41,1414,Actor,Character 202
41,304,Actor,Character 280
41,307,Actor,Character 176
41,1075,Actor,Character 350
41,1021,Actor,Character 411
41,1374,Actor,Character 145
42,1025,Director,
42,721,Actor,Character 477
42,987,Actor,Character 138
42,372,Actor,Character 149
42,1006,Actor,Character 37
43,629,Director,
43,201,Actor,Character 301
43,376,Actor,Character 283
43,1241,Actor,Character 384
43,606,Actor,Character 234
43,1151,Actor,Character 499
44,1088,Director,
44,1268,Director,
44,582,Director,
44,1056,Actor,Character 437
44,514,Actor,Character 98
44,35,Actor,Character 417
44,103,Actor,Character 401
44,1081,Actor,Character 207
44,378,Actor,Character 267
44,1115,Actor,Character 184
44,412,Actor,Character 240
45,829,Director,
45,702,Director,
45,287,Director,
45,1216,Actor,Character 3
45,769,Actor,Character 75
45,325,Actor,Character 90
45,172,Actor,Character 105
45,507,Actor,Character 346
45,412,Actor,Character 233
46,170,Director,
46,1259,Director,
46,1223,Actor,Character 339
46,808,Actor,Character 280
46,302,Actor,Character 494
46,690,Actor,Character 466
46,19,Actor,Character 340
46,1365,Actor,Character 311
46,1499,Actor,Character 142
46,1310,Actor,Character 258
47,877,Director,
47,246,Director,
47,609,Actor,Character 100
47,1168,Actor,Character 324
47,402,Actor,Character 327
47,851,Actor,Character 279
47,473,Actor,Character 494
47,1178,Actor,Character 264
47,1022,Actor,Character 243
47,927,Actor,Character 304
48,204,Director,
48,1441,Actor,Character 334
48,231,Actor,Character 267
48,301,Actor,Character 90
48,117,Actor,Character 443
48,856,Actor,Character 389
48,985,Actor,Character 414
49,1148,Director,
49,383,Director,
49,512,Actor,Character 331
49,386,Actor,Character 422
49,839,Actor,Character 82
49,393,Actor,Character 36
49,557,Actor,Character 239
49,334,Actor,Character 137
49,1328,Actor,Character 211
49,1405,Actor,Character 424
50,948,Director,
50,1453,Director,
50,22,Director,
50,1477,Actor,Character 96
50,688,Actor,Character 311
50,1042,Actor,Character 12
50,538,Actor,Character 331
50,573,Actor,Character 205
51,597,Director,
51,1481,Actor,Character 362
51,460,Actor,Character 154
51,781,Actor,Character 277
51,1488,Actor,Character 15
51,217,Actor,Character 321
52,1049,Director,
52,450,Director,
52,229,Actor,Character 73
52,104,Actor,Character 489
52,521,Actor,Character 30
52,622,Actor,Character 465
52,1490,Actor,Character 32
52,218,Actor,Character 156
52,476,Actor,Character 4
52,575,Actor,Character 248
53,1142,Director,
53,520,Actor,Character 430
53,548,Actor,Character 36
53,822,Actor,Character 495
53,782,Actor,Character 418
54,1264,Director,
54,466,Director,
54,1144,Actor,Character 85
54,1378,Actor,Character 151
54,406,Actor,Character 255
54,1303,Actor,Character 186
55,1423,Director,
55,583,Actor,Character 409
55,14,Actor,Character 382
55,143,Actor,Character 154
55,176,Actor,Character 319
55,1074,Actor,Character 495
55,85,Actor,Character 40
55,216,Actor,Character 150
55,1023,Actor,Character 204
56,1180,Director,
56,1101,Director,
56,160,Actor,Character 238
56,1349,Actor,Character 405
56,1131,Actor,Character 261
56,365,Actor,Character 21
56,594,Actor,Character 212
56,762,Actor,Character 78
56,446,Actor,Character 254
57,116,Director,
57,97,Actor,Character 193
57,674,Actor,Character 195
57,1186,Actor,Character 344
57,260,Actor,Character 35
57,295,Actor,Character 391
57,664,Actor,Character 179
57,953,Actor,Character 358
58,1272,Director,
58,1414,Director,
58,1030,Actor,Character 64
58,236,Actor,Character 389
58,1171,Actor,Character 252
58,1044,Actor,Character 118
58,788,Actor,Character 147
58,118,Actor,Character 464
58,607,Actor,Character 186
59,242,Director,
59,641,Actor,Character 136
59,134,Actor,Character 349
59,11,Actor,Character 406
59,111,Actor,Character 314
59,1489,Actor,Character 137
59,598,Actor,Character 422
59,504,Actor,Character 64
60,1064,Director,
60,884,Director,
60,1134,Director,
60,321,Actor,Character 343
60,359,Actor,Character 252
60,781,Actor,Character 431
60,1241,Actor,Character 137
60,1500,Actor,Character 396
61,81,Director,
61,1481,Director,
61,1345,Actor,Character 465
61,1251,Actor,Character 358
61,1124,Actor,Character 285
61,873,Actor,Character 451
61,75,Actor,Character 348
61,206,Actor,Character 290
61,1360,Actor,Character 231
61,1367,Actor,Character 332
62,988,Director,
62,1026,Actor,Character 131
62,195,Actor,Character 297
62,1096,Actor,Character 417
62,683,Actor,Character 469
62,812,Actor,Character 440
62,981,Actor,Character 366
62,122,Actor,Character 427
63,1432,Director,
63,1011,Director,
63,100,Actor,Character 386
63,1352,Actor,Character 228
63,339,Actor,Character 439
63,1235,Actor,Character 63
63,1142,Actor,Character 175
63,24,Actor,Character 171
64,86,Director,
64,1416,Actor,Character 493
64,138,Actor,Character 106
64,1387,Actor,Character 224
64,1483,Actor,Character 171
64,116,Actor,Character 275
64,315,Actor,Character 92
64,1181,Actor,Character 417
65,1392,Director,
65,986,Director,
65,786,Director,
65,1441,Actor,Character 407
65,1442,Actor,Character 202
65,1487,Actor,Character 324
65,634,Actor,Character 174
65,94,Actor,Character 11
66,410,Director,
66,459,Actor,Character 65
66,370,Actor,Character 388
66,1203,Actor,Character 6
66,1146,Actor,Character 469
66,350,Actor,Character 188
67,1153,Director,
67,1483,Director,
67,141,Director,
67,1448,Actor,Character 115
67,395,Actor,Character 304
67,428,Actor,Character 385
67,380,Actor,Character 176
67,93,Actor,Character 219
68,432,Director,
68,1011,Director,
68,150,Director,
68,1029,Actor,Character 77
68,615,Actor,Character 256
68,328,Actor,Character 119
68,397,Actor,Character 485
68,527,Actor,Character 312
68,244,Actor,Character 459
68,1015,Actor,Character 55
68,1049,Actor,Character 292
69,1084,Director,
69,1291,Actor,Character 278
69,1390,Actor,Character 96
69,47,Actor,Character 172
69,718,Actor,Character 484
69,26,Actor,Character 347
69,317,Actor,Character 254
69,574,Actor,Character 259
70,741,Director,
70,965,Actor,Character 13
70,1417,Actor,Character 319
70,812,Actor,Character 464
70,1396,Actor,Character 226
70,1493,Actor,Character 81
70,767,Actor,Character 389
71,217,Director,
71,1279,Director,
71,773,Actor,Character 417
71,903,Actor,Character 218
71,1066,Actor,Character 277
71,522,Actor,Character 286
71,1069,Actor,Character 500
71,180,Actor,Character 479
71,1175,Actor,Character 467
71,88,Actor,Character 92
72,388,Director,
72,576,Actor,Character 85
72,705,Actor,Character 226
72,233,Actor,Character 18
72,1269,Actor,Character 62
72,342,Actor,Character 158
72,1177,Actor,Character 456
72,126,Actor,Character 340
73,729,Director,
73,642,Director,
73,862,Director,
73,2,Actor,Character 235
73,610,Actor,Character 264
73,875,Actor,Character 298
73,171,Actor,Character 47
73,718,Actor,Character 384
73,1423,Actor,Character 51
73,314,Actor,Character 320
73,1310,Actor,Character 307
74,344,Director,
74,913,Director,
74,490,Director,
74,1409,Actor,Character 285
74,975,Actor,Character 121
74,1043,Actor,Character 321
74,85,Actor,Character 452
74,1431,Actor,Character 323
74,1401,Actor,Character 491
75,268,Director,
75,2,Actor,Character 96
75,1125,Actor,Character 484
75,1454,Actor,Character 377
75,310,Actor,Character 51
75,24,Actor,Character 447
75,538,Actor,Character 361
76,553,Director,
76,258,Director,
76,866,Director,
76,36,Actor,Character 84
76,1459,Actor,Character 162
76,1463,Actor,Character 347
76,158,Actor,Character 72
76,1343,Actor,Character 306
77,853,Director,
77,376,Actor,Character 210
77,97,Actor,Character 251
77,244,Actor,Character 345
77,1142,Actor,Character 134
78,641,Director,
78,400,Actor,Character 215
78,1026,Actor,Character 378
78,1467,Actor,Character 343
78,687,Actor,Character 51
79,440,Director,
79,1126,Director,
79,1175,Director,
79,928,Actor,Character 385
79,128,Actor,Character 200
79,961,Actor,Character 85
79,208,Actor,Character 233
79,1201,Actor,Character 264
79,49,Actor,Character 400
79,755,Actor,Character 167
79,116,Actor,Character 203
80,365,Director,
80,996,Actor,Character 380
80,262,Actor,Character 301
80,970,Actor,Character 421
80,715,Actor,Character 447
80,237,Actor,Character 121
80,1334,Actor,Character 14
80,728,Actor,Character 230
80,954,Actor,Character 422
81,172,Director,
81,387,Actor,Character 426
81,1220,Actor,Character 108
81,1253,Actor,Character 434
81,649,Actor,Character 476
81,463,Actor,Character 132
81,1359,Actor,Character 304
81,759,Actor,Character 208
81,698,Actor,Character 210
82,360,Director,
82,1256,Director,
82,179,Director,
82,448,Actor,Character 118
82,97,Actor,Character 288
82,614,Actor,Character 281
82,562,Actor,Character 396
82,505,Actor,Character 123
83,537,Director,
83,1262,Director,
83,201,Actor,Character 424
83,1302,Actor,Character 112
83,1277,Actor,Character 381
83,1340,Actor,Character 398
83,765,Actor,Character 184
84,808,Director,
84,769,Director,
84,576,Actor,Character 130
84,225,Actor,Character 32
84,512,Actor,Character 476
84,168,Actor,Character 381
84,779,Actor,Character 123
84,1229,Actor,Character 429
84,566,Actor,Character 91
84,188,Actor,Character 97
85,324,Director,
85,835,Actor,Character 25
85,871,Actor,Character 174
85,394,Actor,Character 164
85,590,Actor,Character 455
85,1294,Actor,Character 229
85,566,Actor,Character 337
85,1339,Actor,Character 334
85,1117,Actor,Character 472
86,691,Director,
86,981,Director,
86,1411,Actor,Character 270
86,998,Actor,Character 127
86,1290,Actor,Character 2
86,755,Actor,Character 500
86,853,Actor,Character 235
86,183,Actor,Character 161
86,1340,Actor,Character 152
87,738,Director,
87,1057,Actor,Character 117
87,870,Actor,Character 137
87,269,Actor,Character 148
87,1261,Actor,Character 361
87,1008,Actor,Character 372
87,319,Actor,Character 143
88,1421,Director,
88,1046,Director,
88,1280,Actor,Character 424
88,193,Actor,Character 308
88,594,Actor,Character 192
88,700,Actor,Character 177
88,574,Actor,Character 335
89,993,Director,
89,1172,Director,
89,1351,Director,
89,1252,Actor,Character 268
89,1035,Actor,Character 171
89,247,Actor,Character 413
89,345,Actor,Character 214
89,378,Actor,Character 408
90,745,Director,
90,1013,Director,
90,942,Director,
90,1385,Actor,Character 34
90,1484,Actor,Character 393
90,20,Actor,Character 92
90,154,Actor,Character 18
90,990,Actor,Character 63
91,1063,Director,
91,1323,Actor,Character 68
91,1387,Actor,Character 195
91,142,Actor,Character 121
91,599,Actor,Character 172
91,984,Actor,Character 144
91,700,Actor,Character 62
92,1178,Director,
92,1323,Director,
92,527,Director,
92,129,Actor,Character 243
92,869,Actor,Character 72
92,560,Actor,Character 294
92,1014,Actor,Character 467
92,1402,Actor,Character 379
93,888,Director,
93,132,Director,
93,548,Actor,Character 375
93,1481,Actor,Character 380
93,461,Actor,Character 185
93,532,Actor,Character 292
93,93,Actor,Character 205
93,126,Actor,Character 294
94,1187,Director,
94,1188,Director,
94,546,Actor,Character 447
94,553,Actor,Character 245
94,879,Actor,Character 338
94,723,Actor,Character 417
94,182,Actor,Character 89
94,1399,Actor,Character 485
94,1279,Actor,Character 338
95,88,Director,
95,395,Director,
95,878,Actor,Character 40
95,463,Actor,Character 203
95,78,Actor,Character 108
95,87,Actor,Character 452
95,1144,Actor,Character 306
95,1177,Actor,Character 108
96,248,Director,
96,658,Director,
96,871,Actor,Character 430
96,42,Actor,Character 37
96,1203,Actor,Character 22
96,182,Actor,Character 280
96,153,Actor,Character 24
96,1439,Actor,Character 80
97,1401,Director,
97,610,Director,
97,376,Actor,Character 304
97,73,Actor,Character 319
97,986,Actor,Character 297
97,884,Actor,Character 419
98,1139,Director,
98,1,Actor,Character 317
98,871,Actor,Character 143
98,682,Actor,Character 145
98,1135,Actor,Character 463
98,1150,Actor,Character 114
99,438,Director,
99,579,Actor,Character 198
99,483,Actor,Character 68
99,677,Actor,Character 140
99,43,Actor,Character 97
99,460,Actor,Character 166
99,1211,Actor,Character 486
99,703,Actor,Character 416
100,72,Director,
100,308,Director,
100,1091,Actor,Character 469
100,714,Actor,Character 417
100,532,Actor,Character 160
100,474,Actor,Character 248
100,1212,Actor,Character 370
100,1215,Actor,Character 36
101,587,Director,
101,532,Director,
101,415,Director,
101,709,Actor,Character 112
101,1322,Actor,Character 235
101,43,Actor,Character 134
101,1067,Actor,Character 100
101,1262,Actor,Character 259
101,913,Actor,Character 146
101,1461,Actor,Character 194
101,1470,Actor,Character 397
102,980,Director,
102,1005,Director,
102,722,Actor,Character 32
102,530,Actor,Character 204
102,854,Actor,Character 253
102,687,Actor,Character 398
103,89,Director,
103,1313,Director,
103,456,Director,
103,1063,Actor,Character 74
103,843,Actor,Character 136
103,495,Actor,Character 266
103,373,Actor,Character 80
103,407,Actor,Character 303
103,952,Actor,Character 274
104,593,Director,
104,1017,Director,
104,321,Actor,Character 33
104,874,Actor,Character 129
104,1099,Actor,Character 246
104,685,Actor,Character 193
104,957,Actor,Character 37
105,280,Director,
105,19,Director,
105,210,Actor,Character 183
105,802,Actor,Character 293
105,358,Actor,Character 246
105,1311,Actor,Character 429
106,787,Director,
106,53,Director,
106,1015,Director,
106,744,Actor,Character 204
106,1453,Actor,Character 240
106,919,Actor,Character 288
106,1464,Actor,Character 39
106,1055,Actor,Character 278
107,953,Director,
107,1058,Director,
107,603,Director,
107,513,Actor,Character 344
107,138,Actor,Character 356
107,1100,Actor,Character 261
107,493,Actor,Character 127
107,1458,Actor,Character 490
107,886,Actor,Character 366
107,922,Actor,Character 65
107,59,Actor,Character 252
108,700,Director,
108,1034,Actor,Character 52
108,1378,Actor,Character 38
108,1427,Actor,Character 229
108,342,Actor,Character 267
109,874,Director,
109,372,Director,
109,1357,Director,
109,32,Actor,Character 133
109,864,Actor,Character 107
109,516,Actor,Character 53
109,1125,Actor,Character 71
109,686,Actor,Character 252
109,1073,Actor,Character 402
109,90,Actor,Character 295
109,1243,Actor,Character 282
110,72,Director,
110,1467,Director,
110,31,Director,
110,1222,Actor,Character 300
110,618,Actor,Character 102
110,270,Actor,Character 11
110,818,Actor,Character 412
110,755,Actor,Character 326
110,887,Actor,Character 460
110,442,Actor,Character 421
110,123,Actor,Character 462
111,133,Director,
111,222,Director,
111,196,Actor,Character 399
111,606,Actor,Character 85
111,845,Actor,Character 286
111,496,Actor,Character 115
111,412,Actor,Character 304
111,862,Actor,Character 305
112,928,Director,
112,915,Director,
112,876,Director,
112,554,Actor,Character 434
112,44,Actor,Character 276
112,1261,Actor,Character 478
112,881,Actor,Character 403
112,1235,Actor,Character 197
113,1436,Director,
113,1160,Actor,Character 487
113,617,Actor,Character 442
113,1011,Actor,Character 128
113,1435,Actor,Character 343
113,1205,Actor,Character 285
113,1398,Actor,Character 250
113,343,Actor,Character 73
113,1371,Actor,Character 281
114,141,Director,
114,104,Actor,Character 46
114,834,Actor,Character 499
114,1460,Actor,Character 264
114,109,Actor,Character 94
115,1189,Director,
115,1041,Actor,Character 342
115,891,Actor,Character 254
115,454,Actor,Character 492
115,54,Actor,Character 46
116,71,Director,
116,102,Actor,Character 427
116,810,Actor,Character 165
116,591,Actor,Character 276
116,1426,Actor,Character 10
116,536,Actor,Character 238
117,380,Director,
117,1211,Actor,Character 377
117,499,Actor,Character 465
117,421,Actor,Character 165
117,71,Actor,Character 123
118,905,Director,
118,962,Actor,Character 335
118,963,Actor,Character 102
118,489,Actor,Character 262
118,395,Actor,Character 388
118,1102,Actor,Character 493
119,204,Director,
119,357,Director,
119,1348,Actor,Character 385
119,965,Actor,Character 396
119,1164,Actor,Character 153
119,1134,Actor,Character 167
119,1495,Actor,Character 70
119,573,Actor,Character 228
119,926,Actor,Character 467
120,96,Director,
120,65,Director,
120,97,Actor,Character 322
120,395,Actor,Character 98
120,1199,Actor,Character 100
120,1327,Actor,Character 83
120,1330,Actor,Character 227
120,602,Actor,Character 294
120,282,Actor,Character 23
120,1083,Actor,Character 464
121,1024,Director,
121,643,Actor,Character 354
121,388,Actor,Character 422
121,133,Actor,Character 345
121,814,Actor,Character 26
121,175,Actor,Character 324
121,1393,Actor,Character 90
121,311,Actor,Character 139
122,271,Director,
122,482,Actor,Character 12
122,1142,Actor,Character 464
122,1078,Actor,Character 25
122,599,Actor,Character 393
123,257,Director,
123,1370,Director,
123,706,Actor,Character 289
123,227,Actor,Character 323
123,1131,Actor,Character 422
123,1423,Actor,Character 186
123,375,Actor,Character 244
123,187,Actor,Character 13
124,338,Director,
124,1070,Director,
124,1317,Actor,Character 78
124,326,Actor,Character 352
124,261,Actor,Character 136
124,74,Actor,Character 287
124,755,Actor,Character 420
124,916,Actor,Character 419
124,1497,Actor,Character 16
124,1180,Actor,Character 450
125,1226,Director,
125,252,Director,
125,399,Director,
125,472,Actor,Character 260
125,641,Actor,Character 440
125,1500,Actor,Character 257
125,557,Actor,Character 292
126,368,Director,
126,627,Director,
126,677,Director,
126,672,Actor,Character 165
126,1451,Actor,Character 315
126,652,Actor,Character 430
126,907,Actor,Character 112
126,1262,Actor,Character 137
126,688,Actor,Character 446
126,890,Actor,Character 451
126,539,Actor,Character 485
127,520,Director,
127,15,Director,
127,802,Actor,Character 446
127,487,Actor,Character 111
127,1228,Actor,Character 331
127,111,Actor,Character 180
127,16,Actor,Character 476
127,1135,Actor,Character 499
127,1136,Actor,Character 195
127,855,Actor,Character 207
128,552,Director,
128,579,Director,
128,1437,Director,
128,1222,Actor,Character 347
128,1192,Actor,Character 289
128,1358,Actor,Character 207
128,785,Actor,Character 329
128,1434,Actor,Character 430
128,988,Actor,Character 239
128,1149,Actor,Character 31
129,1393,Director,
129,1265,Actor,Character 145
129,354,Actor,Character 458
129,229,Actor,Character 22
129,1239,Actor,Character 16
130,428,Director,
130,492,Director,
130,1280,Actor,Character 137
130,98,Actor,Character 422
130,707,Actor,Character 284
130,36,Actor,Character 206
130,85,Actor,Character 218
130,151,Actor,Character 172
131,437,Director,
131,517,Actor,Character 169
131,1000,Actor,Character 269
131,1073,Actor,Character 153
131,951,Actor,Character 449
131,1309,Actor,Character 430
131,1403,Actor,Character 111
131,893,Actor,Character 57
132,119,Director,
132,32,Actor,Character 186
132,132,Actor,Character 304
132,1064,Actor,Character 181
132,1298,Actor,Character 354
132,504,Actor,Character 11
133,1200,Director,
133,894,Director,
133,385,Actor,Character 363
133,35,Actor,Character 474
133,6,Actor,Character 220
133,1099,Actor,Character 287
133,877,Actor,Character 352
133,494,Actor,Character 305
133,884,Actor,Character 349
134,352,Director,
134,441,Director,
134,598,Director,
134,1035,Actor,Character 203
134,754,Actor,Character 409
134,530,Actor,Character 481
134,372,Actor,Character 20
134,790,Actor,Character 360
135,1389,Director,
135,1313,Actor,Character 282
135,236,Actor,Character 377
135,1487,Actor,Character 376
135,693,Actor,Character 274
135,952,Actor,Character 246
135,701,Actor,Character 404
136,435,Director,
136,1326,Director,
136,1025,Actor,Character 149
136,1443,Actor,Character 113
136,740,Actor,Character 52
136,651,Actor,Character 380
136,337,Actor,Character 57
136,1117,Actor,Character 305
136,828,Actor,Character 124
136,477,Actor,Character 331
137,955,Director,
137,1270,Director,
137,530,Actor,Character 322
137,778,Actor,Character 425
137,164,Actor,Character 166
137,525,Actor,Character 54
138,977,Director,
138,728,Actor,Character 3
138,1482,Actor,Character 262
138,1092,Actor,Character 128
138,247,Actor,Character 77
139,425,Director,
139,625,Director,
139,1215,Director,
139,1336,Actor,Character 338
139,418,Actor,Character 466
139,64,Actor,Character 28
139,1045,Actor,Character 230
140,884,Director,
140,643,Actor,Character 353
140,195,Actor,Character 371
140,428,Actor,Character 136
140,1008,Actor,Character 386
140,1016,Actor,Character 155
140,1343,Actor,Character 411
141,386,Director,
141,1308,Director,
141,1372,Director,
141,1478,Actor,Character 57
141,1227,Actor,Character 466
141,173,Actor,Character 274
141,337,Actor,Character 490
141,1017,Actor,Character 255
142,1274,Director,
142,1133,Director,
142,941,Director,
142,473,Actor,Character 255
142,410,Actor,Character 123
142,627,Actor,Character 318
142,1420,Actor,Character 364
143,571,Director,
143,388,Director,
143,962,Actor,Character 369
143,582,Actor,Character 177
143,902,Actor,Character 159
143,169,Actor,Character 244
143,1368,Actor,Character 68
143,1087,Actor,Character 239
144,834,Director,
144,547,Actor,Character 98
144,549,Actor,Character 240
144,1260,Actor,Character 484
144,236,Actor,Character 73
144,1006,Actor,Character 309
144,377,Actor,Character 414
144,1212,Actor,Character 212
145,687,Director,
145,207,Director,
145,387,Actor,Character 429
145,436,Actor,Character 428
145,596,Actor,Character 431
145,87,Actor,Character 282
145,702,Actor,Character 31
146,133,Director,
146,706,Actor,Character 85
146,906,Actor,Character 362
146,470,Actor,Character 30
